application_id,visa_type,applicant_age,gender,education_level,nationality,occupation,processing_center,visit_purpose,duration_requested_days,application_month,application_year,previous_visa,num_previous_visits,financial_proof_usd,has_sponsor,documents_complete,express_processing,processing_time_days,visa_status,education_encoded,visa_type_encoded,gender_encoded,nationality_encoded,occupation_encoded,processing_center_encoded,visit_purpose_encoded,previous_visa_encoded,visa_type_Business,visa_type_Conference,visa_type_Employment,visa_type_Entry,visa_type_Medical,visa_type_Research,visa_type_Student,visa_type_Tourist,visa_status_encoded
IND20240000011,Business,41.0,Male,Graduate,Russia,Retired,Ahmedabad,Trade Fair,180,9,2024,Yes,2.0,35493.0,1,1.0,0,10,Approved,2,0,1,11,5,0,35,1,True,False,False,False,False,False,False,False,2
IND20200000012,Tourist,24.0,Male,Graduate,South Korea,Business Owner,New Delhi,Wildlife Safari,30,9,2020,Yes,5.0,22921.0,0,1.0,0,9,Approved,2,7,1,14,1,6,38,1,False,False,False,False,False,False,False,True,2
IND20230000013,Business,46.0,Male,10th Pass,France,Business Owner,Mumbai,Partnership Discussion,90,7,2023,Yes,8.0,21762.5,1,1.0,0,10,Approved,0,0,1,5,1,5,23,1,True,False,False,False,False,False,False,False,2
IND20200000014,Tourist,35.0,Male,10th Pass,Japan,Academic,Chennai,Beach Holiday,60,5,2020,No,0.0,9185.0,1,1.0,0,3,Approved,0,7,1,8,0,2,2,0,False,False,False,False,False,False,False,True,2
IND20240000015,Research,20.0,Male,Doctorate,South Korea,Student,Ahmedabad,Collaboration,60,4,2024,No,0.0,21762.5,1,1.0,0,24,Approved,4,5,1,14,7,0,6,0,False,False,False,False,False,True,False,False,2
IND20230000016,Student,26.0,Female,12th Pass,Malaysia,Student,Pune,Postgraduate,730,5,2023,Yes,1.0,17989.0,0,1.0,0,10,Approved,1,6,0,9,7,7,25,1,False,False,False,False,False,False,True,False,2
IND20240000017,Tourist,53.0,Male,Graduate,UK,Business Owner,Chennai,Sightseeing,30,11,2024,Yes,7.0,4928.0,0,1.0,0,9,Approved,2,7,1,18,1,2,30,1,False,False,False,False,False,False,False,True,2
IND20240000018,Business,53.0,Female,12th Pass,China,Business Owner,Kolkata,Trade Fair,60,5,2024,Yes,3.0,91039.0,1,1.0,0,6,Approved,1,0,0,4,1,4,35,1,True,False,False,False,False,False,False,False,2
IND20240000019,Tourist,26.0,Male,Post Graduate,Malaysia,Retired,Hyderabad,Heritage Tour,90,2,2024,Yes,6.0,10338.0,1,1.0,0,7,Pending,3,7,1,9,5,3,17,1,False,False,False,False,False,False,False,True,1
IND20200000020,Tourist,28.0,Female,Graduate,France,Business Owner,Chennai,Wildlife Safari,90,10,2020,Yes,6.0,7671.0,0,1.0,1,2,Approved,2,7,0,5,1,2,38,1,False,False,False,False,False,False,False,True,2
IND20230000021,Tourist,37.0,Male,Graduate,USA,Government Employee,Chennai,Wildlife Safari,60,12,2023,Yes,7.0,19379.0,1,1.0,0,4,Approved,2,7,1,19,2,2,38,1,False,False,False,False,False,False,False,True,2
IND20240000022,Business,55.0,Male,12th Pass,Sri Lanka,Self Employed,Chennai,Client Meeting,90,6,2024,Yes,6.0,30535.0,1,1.0,0,10,Pending,1,0,1,15,6,2,5,1,True,False,False,False,False,False,False,False,1
IND20210000023,Student,24.0,Male,Post Graduate,Australia,Student,Ahmedabad,Undergraduate,730,12,2021,No,0.0,63964.0,0,1.0,0,12,Approved,3,6,1,0,7,0,37,0,False,False,False,False,False,False,True,False,2
IND20200000024,Conference,44.0,Male,Graduate,Singapore,Retired,Kolkata,Workshop,60,5,2020,Yes,4.0,1775.0,1,1.0,0,6,Approved,2,1,1,12,5,4,39,1,False,True,False,False,False,False,False,False,2
IND20220000025,Research,42.0,Female,12th Pass,Malaysia,Government Employee,New Delhi,Scientific Study,60,3,2022,No,0.0,9698.0,1,1.0,1,20,Approved,1,5,0,9,2,6,27,0,False,False,False,False,False,True,False,False,2
IND20220000026,Tourist,47.0,Male,10th Pass,Nepal,Retired,Hyderabad,Sightseeing,180,1,2022,No,0.0,27427.0,0,1.0,0,8,Rejected,0,7,1,10,5,3,30,0,False,False,False,False,False,False,False,True,0
IND20220000027,Tourist,59.0,Female,Graduate,France,Homemaker,Hyderabad,Beach Holiday,90,7,2022,No,0.0,10688.0,0,1.0,0,9,Approved,2,7,0,5,3,3,2,0,False,False,False,False,False,False,False,True,2
IND20230000028,Tourist,63.0,Male,Post Graduate,Italy,Homemaker,Ahmedabad,Hill Station,30,5,2023,Yes,4.0,15086.0,0,0.0,0,21,Approved,3,7,1,7,3,0,18,1,False,False,False,False,False,False,False,True,2
IND20210000029,Business,52.0,Female,12th Pass,Australia,Business Owner,Mumbai,Trade Fair,365,11,2021,No,0.0,84167.0,1,1.0,0,9,Approved,1,0,0,0,1,5,35,0,True,False,False,False,False,False,False,False,2
IND20210000030,Tourist,29.0,Male,Post Graduate,UK,Student,Pune,Hill Station,30,8,2021,No,0.0,21636.0,0,1.0,1,7,Approved,3,7,1,18,7,7,18,0,False,False,False,False,False,False,False,True,2
IND20210000031,Tourist,61.0,Male,Doctorate,France,Self Employed,Kolkata,Heritage Tour,180,1,2021,No,0.0,9165.0,1,1.0,0,12,Rejected,4,7,1,5,6,4,17,0,False,False,False,False,False,False,False,True,0
IND20230000032,Student,33.0,Female,12th Pass,Malaysia,Student,Pune,Postgraduate,1460,8,2023,No,0.0,42406.0,0,1.0,1,10,Approved,1,6,0,9,7,7,25,0,False,False,False,False,False,False,True,False,2
IND20200000033,Tourist,65.0,Female,Post Graduate,South Korea,Homemaker,Bengaluru,Wildlife Safari,30,3,2020,Yes,4.0,13551.0,0,1.0,0,9,Approved,3,7,0,14,3,1,38,1,False,False,False,False,False,False,False,True,2
IND20240000034,Employment,51.0,Female,Post Graduate,UK,Retired,Ahmedabad,Teaching,1825,12,2024,Yes,7.0,36259.0,1,1.0,0,18,Approved,3,2,0,18,5,0,33,1,False,False,True,False,False,False,False,False,2
IND20230000035,Student,34.0,Male,12th Pass,Singapore,Student,Kolkata,PhD Research,1460,8,2023,Yes,7.0,21762.5,0,1.0,0,10,Approved,1,6,1,12,7,4,24,1,False,False,False,False,False,False,True,False,2
IND20240000036,Business,54.0,Male,12th Pass,Nepal,Government Employee,New Delhi,Client Meeting,180,3,2024,Yes,3.0,9590.0,1,1.0,0,7,Approved,1,0,1,10,2,6,5,1,True,False,False,False,False,False,False,False,2
IND20220000037,Employment,46.0,Female,Graduate,Sri Lanka,Homemaker,Mumbai,Teaching,365,12,2022,No,0.0,8413.0,1,1.0,0,13,Approved,2,2,0,15,3,5,33,0,False,False,True,False,False,False,False,False,2
IND20210000038,Tourist,32.0,Male,Graduate,Italy,Student,Kolkata,Heritage Tour,180,11,2021,Yes,4.0,16238.0,0,1.0,0,5,Approved,2,7,1,7,7,4,17,1,False,False,False,False,False,False,False,True,2
IND20210000039,Tourist,39.0,Male,Post Graduate,South Africa,Professional,Hyderabad,Hill Station,180,7,2021,No,0.0,7498.0,1,0.0,0,13,Rejected,3,7,1,13,4,3,18,0,False,False,False,False,False,False,False,True,0
IND20240000040,Employment,29.0,Male,Doctorate,Bangladesh,Self Employed,Bengaluru,IT Services,1825,11,2024,No,0.0,5829.0,0,1.0,0,23,Approved,4,2,1,1,6,1,19,0,False,False,True,False,False,False,False,False,2
IND20230000041,Business,65.0,Male,12th Pass,Sri Lanka,Student,Chennai,Site Visit,90,10,2023,No,0.0,66372.0,0,1.0,0,10,Approved,1,0,1,15,7,2,31,0,True,False,False,False,False,False,False,False,2
IND20200000042,Student,25.0,Female,Graduate,South Korea,Student,Pune,Short Course,1460,6,2020,Yes,8.0,52600.0,1,1.0,0,14,Approved,2,6,0,14,7,7,29,1,False,False,False,False,False,False,True,False,2
IND20220000043,Student,25.0,Female,Graduate,Malaysia,Student,New Delhi,Short Course,730,2,2022,Yes,7.0,74038.0,0,1.0,1,13,Approved,2,6,0,9,7,6,29,1,False,False,False,False,False,False,True,False,2
IND20200000044,Business,25.0,Female,Graduate,South Korea,Professional,Ahmedabad,Conference,90,11,2020,No,0.0,51368.0,0,0.0,0,10,Approved,2,0,0,14,4,0,7,0,True,False,False,False,False,False,False,False,2
IND20230000045,Tourist,37.0,Female,10th Pass,China,Retired,Mumbai,Heritage Tour,90,2,2023,No,0.0,18559.0,0,1.0,0,14,Approved,0,7,0,4,5,5,17,0,False,False,False,False,False,False,False,True,2
IND20240000046,Employment,40.0,Male,Graduate,Japan,Homemaker,Kolkata,Consulting,365,5,2024,Yes,3.0,22977.0,1,1.0,0,14,Approved,2,2,1,8,3,4,9,1,False,False,True,False,False,False,False,False,2
IND20230000047,Business,26.0,Male,Post Graduate,South Africa,Professional,Hyderabad,Partnership Discussion,180,8,2023,No,1.0,27164.0,1,1.0,1,3,Approved,3,0,1,13,4,3,23,0,True,False,False,False,False,False,False,False,2
IND20230000048,Business,51.0,Male,Post Graduate,South Africa,Professional,New Delhi,Conference,60,10,2023,Yes,2.0,35530.0,1,0.0,1,19,Pending,3,0,1,13,4,6,7,1,True,False,False,False,False,False,False,False,1
IND20230000049,Tourist,48.0,Female,12th Pass,Russia,Self Employed,Hyderabad,Hill Station,30,10,2023,No,0.0,4251.0,1,1.0,0,10,Approved,1,7,0,11,6,3,18,0,False,False,False,False,False,False,False,True,2
IND20200000050,Tourist,30.0,Male,Post Graduate,Sri Lanka,Academic,Pune,Wildlife Safari,30,4,2020,No,0.0,24165.0,0,1.0,0,6,Pending,3,7,1,15,0,7,38,0,False,False,False,False,False,False,False,True,1
IND20240000051,Student,23.0,Female,Graduate,France,Student,Kolkata,Postgraduate,1095,3,2024,Yes,1.0,31747.0,1,0.0,0,23,Approved,2,6,0,5,7,4,25,1,False,False,False,False,False,False,True,False,2
IND20220000052,Medical,69.0,Female,Post Graduate,China,Academic,Pune,Surgery,30,7,2022,No,0.0,11561.0,0,1.0,0,6,Rejected,3,4,0,4,0,7,32,0,False,False,False,False,True,False,False,False,0
IND20240000053,Tourist,57.0,Male,Post Graduate,China,Professional,Chennai,Beach Holiday,180,5,2024,Yes,7.0,21800.0,0,1.0,1,9,Approved,3,7,1,4,4,2,2,1,False,False,False,False,False,False,False,True,2
IND20200000054,Business,30.0,Female,Post Graduate,Sri Lanka,Government Employee,Pune,Trade Fair,180,9,2020,Yes,8.0,14542.0,1,1.0,0,5,Pending,3,0,0,15,2,7,35,1,True,False,False,False,False,False,False,False,1
IND20230000055,Tourist,52.0,Male,12th Pass,Malaysia,Academic,Ahmedabad,Sightseeing,60,9,2023,Yes,8.0,21493.0,0,1.0,0,6,Approved,1,7,1,9,0,0,30,1,False,False,False,False,False,False,False,True,2
IND20220000056,Tourist,41.0,Female,Graduate,France,Professional,Kolkata,Heritage Tour,90,9,2022,Yes,7.0,4054.0,1,1.0,1,2,Approved,2,7,0,5,4,4,17,1,False,False,False,False,False,False,False,True,2
IND20210000057,Student,32.0,Female,Post Graduate,Thailand,Student,Hyderabad,Exchange Program,1460,8,2021,Yes,8.0,28958.0,1,1.0,0,10,Approved,3,6,0,16,7,3,12,1,False,False,False,False,False,False,True,False,2
IND20230000058,Tourist,41.0,Female,Graduate,USA,Homemaker,Hyderabad,Hill Station,180,3,2023,Yes,8.0,12309.0,0,0.0,1,17,Rejected,2,7,0,19,3,3,18,1,False,False,False,False,False,False,False,True,0
IND20210000059,Business,56.0,Female,12th Pass,South Korea,Student,Ahmedabad,Client Meeting,90,12,2021,Yes,7.0,53604.0,1,1.0,0,6,Approved,1,0,0,14,7,0,5,1,True,False,False,False,False,False,False,False,2
IND20240000060,Tourist,41.0,Male,Post Graduate,UAE,Business Owner,Pune,Sightseeing,60,7,2024,No,0.0,21762.5,1,1.0,0,10,Approved,3,7,1,17,1,7,30,0,False,False,False,False,False,False,False,True,2
IND20230000061,Tourist,61.0,Male,Graduate,Brazil,Self Employed,Bengaluru,Beach Holiday,30,10,2023,Yes,4.0,21681.0,0,1.0,0,9,Rejected,2,7,1,2,6,1,2,1,False,False,False,False,False,False,False,True,0
IND20200000062,Employment,50.0,Male,Graduate,Russia,Professional,New Delhi,Consulting,365,5,2020,Yes,6.0,33225.0,1,1.0,1,14,Approved,2,2,1,11,4,6,9,1,False,False,True,False,False,False,False,False,2
IND20240000063,Entry,44.0,Male,Doctorate,Singapore,Student,Kolkata,Family Visit,90,5,2024,Yes,5.0,22851.0,1,1.0,0,3,Approved,4,3,1,12,7,4,13,1,False,False,False,True,False,False,False,False,2
IND20220000064,Tourist,57.0,Female,Graduate,Sri Lanka,Homemaker,Pune,Wildlife Safari,60,7,2022,Yes,2.0,8772.0,0,0.0,0,21,Rejected,2,7,0,15,3,7,38,1,False,False,False,False,False,False,False,True,0
IND20220000065,Tourist,21.0,Female,12th Pass,China,Professional,New Delhi,Hill Station,180,5,2022,Yes,6.0,8176.0,0,1.0,0,6,Pending,1,7,0,4,4,6,18,1,False,False,False,False,False,False,False,True,1
IND20200000066,Tourist,39.0,Female,Graduate,UK,Government Employee,Chennai,Sightseeing,90,6,2020,No,0.0,14615.0,1,1.0,0,8,Approved,2,7,0,18,2,2,30,0,False,False,False,False,False,False,False,True,2
IND20220000067,Business,30.0,Female,10th Pass,Singapore,Professional,Hyderabad,Trade Fair,30,8,2022,Yes,3.0,32571.0,0,0.0,0,16,Approved,0,0,0,12,4,3,35,1,True,False,False,False,False,False,False,False,2
IND20240000068,Conference,27.0,Female,12th Pass,Bangladesh,Homemaker,Ahmedabad,Academic Conference,30,11,2024,Yes,8.0,1820.0,1,0.0,0,26,Rejected,1,1,0,1,3,0,0,1,False,True,False,False,False,False,False,False,0
IND20220000069,Tourist,61.0,Female,Graduate,France,Student,New Delhi,Sightseeing,90,8,2022,Yes,2.0,8693.0,0,1.0,1,7,Approved,2,7,0,5,7,6,30,1,False,False,False,False,False,False,False,True,2
IND20240000070,Entry,46.0,Male,12th Pass,Sri Lanka,Business Owner,Pune,Emergency,60,5,2024,Yes,6.0,8119.0,0,1.0,0,6,Approved,1,3,1,15,1,7,11,1,False,False,False,True,False,False,False,False,2
IND20220000071,Employment,44.0,Male,Post Graduate,Nepal,Homemaker,Kolkata,IT Services,730,2,2022,No,0.0,18900.0,1,1.0,0,16,Rejected,3,2,1,10,3,4,19,0,False,False,True,False,False,False,False,False,0
IND20240000072,Tourist,33.0,Male,Graduate,Malaysia,Retired,Kolkata,Heritage Tour,90,3,2024,No,0.0,1092.0,0,1.0,0,8,Approved,2,7,1,9,5,4,17,0,False,False,False,False,False,False,False,True,2
IND20200000073,Business,28.0,Male,Graduate,Bangladesh,Business Owner,Kolkata,Site Visit,90,1,2020,Yes,5.0,9868.0,1,1.0,0,13,Approved,2,0,1,1,1,4,31,1,True,False,False,False,False,False,False,False,2
IND20220000074,Business,52.0,Male,10th Pass,UAE,Student,Kolkata,Site Visit,30,12,2022,No,0.0,71347.0,1,1.0,0,5,Rejected,0,0,1,17,7,4,31,0,True,False,False,False,False,False,False,False,0
IND20230000075,Tourist,47.0,Male,12th Pass,Singapore,Academic,Mumbai,Sightseeing,90,10,2023,Yes,1.0,5135.0,0,0.0,0,24,Approved,1,7,1,12,0,5,30,1,False,False,False,False,False,False,False,True,2
IND20230000076,Tourist,26.0,Male,Graduate,Malaysia,Retired,Ahmedabad,Beach Holiday,60,7,2023,No,0.0,28112.0,0,1.0,1,2,Approved,2,7,1,9,5,0,2,0,False,False,False,False,False,False,False,True,2
IND20220000077,Employment,38.0,Female,10th Pass,Canada,Academic,Mumbai,IT Services,365,2,2022,Yes,2.0,29421.0,1,0.0,0,32,Approved,0,2,0,3,0,5,19,1,False,False,True,False,False,False,False,False,2
IND20230000078,Business,42.0,Female,12th Pass,UK,Business Owner,Hyderabad,Site Visit,90,6,2023,Yes,4.0,23280.0,0,1.0,0,9,Approved,1,0,0,18,1,3,31,1,True,False,False,False,False,False,False,False,2
IND20220000079,Tourist,27.0,Female,Graduate,South Africa,Retired,Ahmedabad,Hill Station,30,10,2022,No,0.0,28179.0,0,1.0,0,10,Approved,2,7,0,13,5,0,18,0,False,False,False,False,False,False,False,True,2
IND20220000080,Business,41.0,Female,Post Graduate,USA,Professional,Chennai,Conference,365,11,2022,Yes,2.0,21595.0,1,1.0,0,11,Approved,3,0,0,19,4,2,7,1,True,False,False,False,False,False,False,False,2
IND20220000081,Tourist,30.0,Female,12th Pass,Russia,Government Employee,Mumbai,Sightseeing,60,3,2022,No,0.0,2630.0,0,1.0,0,19,Approved,1,7,0,11,2,5,30,0,False,False,False,False,False,False,False,True,2
IND20230000082,Research,37.0,Male,Doctorate,Thailand,Business Owner,Bengaluru,Collaboration,30,5,2023,No,0.0,23232.0,0,1.0,0,18,Approved,4,5,1,16,1,1,6,0,False,False,False,False,False,True,False,False,2
IND20240000083,Tourist,23.0,Male,Graduate,Japan,Homemaker,Kolkata,Heritage Tour,90,5,2024,No,0.0,4931.0,1,1.0,1,2,Approved,2,7,1,8,3,4,17,0,False,False,False,False,False,False,False,True,2
IND20240000084,Student,24.0,Female,Graduate,Germany,Student,Ahmedabad,Undergraduate,1460,1,2024,No,0.0,20205.0,1,0.0,1,27,Rejected,2,6,0,6,7,0,37,0,False,False,False,False,False,False,True,False,0
IND20230000085,Business,38.0,Male,12th Pass,Nepal,Student,New Delhi,Trade Fair,60,10,2023,Yes,6.0,14551.0,0,1.0,0,10,Approved,1,0,1,10,7,6,35,1,True,False,False,False,False,False,False,False,2
IND20240000086,Conference,25.0,Female,Post Graduate,Russia,Government Employee,Kolkata,Academic Conference,30,2,2024,No,1.0,21749.0,1,0.0,0,19,Approved,3,1,0,11,2,4,0,0,False,True,False,False,False,False,False,False,2
IND20210000087,Employment,38.0,Male,Graduate,Australia,Student,Mumbai,Manufacturing,1825,8,2021,Yes,8.0,49638.0,1,1.0,0,19,Approved,2,2,1,0,7,5,20,1,False,False,True,False,False,False,False,False,2
IND20230000088,Tourist,60.0,Female,Post Graduate,China,Professional,Bengaluru,Hill Station,30,5,2023,Yes,8.0,2232.0,1,1.0,0,5,Approved,3,7,0,4,4,1,18,1,False,False,False,False,False,False,False,True,2
IND20240000089,Conference,44.0,Female,Post Graduate,South Africa,Professional,Pune,Seminar,90,4,2024,Yes,8.0,17428.0,1,1.0,1,2,Approved,3,1,0,13,4,7,28,1,False,True,False,False,False,False,False,False,2
IND20220000090,Student,19.0,Male,Graduate,UK,Student,Kolkata,Exchange Program,1460,9,2022,No,0.0,30807.0,1,1.0,0,16,Approved,2,6,1,18,7,4,12,0,False,False,False,False,False,False,True,False,2
IND20220000091,Tourist,63.0,Male,12th Pass,Brazil,Business Owner,Bengaluru,Sightseeing,180,5,2022,Yes,3.0,11923.0,1,0.0,0,16,Rejected,1,7,1,2,1,1,30,1,False,False,False,False,False,False,False,True,0
IND20230000092,Conference,28.0,Male,Graduate,Russia,Student,Bengaluru,Business Conference,90,12,2023,No,0.0,23459.0,1,1.0,0,10,Approved,2,1,1,11,7,1,3,0,False,True,False,False,False,False,False,False,2
IND20210000093,Tourist,41.0,Female,12th Pass,Japan,Retired,Chennai,Heritage Tour,30,5,2021,Yes,1.0,22690.0,0,0.0,0,23,Approved,1,7,0,8,5,2,17,1,False,False,False,False,False,False,False,True,2
IND20210000094,Employment,32.0,Female,10th Pass,UK,Self Employed,Bengaluru,Manufacturing,730,10,2021,No,0.0,34420.0,1,0.0,0,29,Rejected,0,2,0,18,6,1,20,0,False,False,True,False,False,False,False,False,0
IND20210000095,Tourist,43.0,Female,Graduate,UAE,Homemaker,Ahmedabad,Hill Station,180,3,2021,Yes,3.0,29606.0,0,1.0,1,3,Approved,2,7,0,17,3,0,18,1,False,False,False,False,False,False,False,True,2
IND20240000096,Employment,29.0,Female,Post Graduate,Germany,Student,Hyderabad,Teaching,1825,3,2024,No,0.0,11010.0,1,1.0,0,13,Approved,3,2,0,6,7,3,33,0,False,False,True,False,False,False,False,False,2
IND20230000097,Tourist,52.0,Female,Post Graduate,South Korea,Self Employed,Mumbai,Wildlife Safari,60,1,2023,Yes,2.0,28498.0,0,1.0,0,10,Approved,3,7,0,14,6,5,38,1,False,False,False,False,False,False,False,True,2
IND20230000098,Tourist,41.0,Male,Graduate,Singapore,Student,New Delhi,Sightseeing,30,5,2023,Yes,3.0,18983.0,0,0.0,1,9,Approved,2,7,1,12,7,6,30,1,False,False,False,False,False,False,False,True,2
IND20200000099,Student,18.0,Male,Graduate,Sri Lanka,Student,Pune,Undergraduate,365,8,2020,No,0.0,12154.0,0,0.0,0,21,Approved,2,6,1,15,7,7,37,0,False,False,False,False,False,False,True,False,2
IND20240000100,Medical,47.0,Male,Graduate,South Africa,Self Employed,Chennai,Surgery,90,2,2024,No,0.0,18828.0,0,0.0,0,19,Approved,2,4,1,13,6,2,32,0,False,False,False,False,True,False,False,False,2
IND20230000101,Business,43.0,Female,10th Pass,USA,Business Owner,Bengaluru,Client Meeting,90,4,2023,No,0.0,89127.0,1,0.0,0,12,Approved,0,0,0,19,1,1,5,0,True,False,False,False,False,False,False,False,2
IND20220000102,Tourist,61.0,Male,12th Pass,UAE,Academic,Chennai,Heritage Tour,30,12,2022,Yes,1.0,10615.0,1,1.0,0,9,Pending,1,7,1,17,0,2,17,1,False,False,False,False,False,False,False,True,1
IND20240000103,Entry,45.0,Female,Graduate,China,Professional,Kolkata,OCI Holder,60,1,2024,No,0.0,11876.0,0,1.0,0,13,Approved,2,3,0,4,4,4,21,0,False,False,False,True,False,False,False,False,2
IND20230000104,Conference,41.0,Male,Graduate,Singapore,Academic,Bengaluru,Seminar,60,2,2023,No,0.0,14910.0,1,1.0,0,7,Approved,2,1,1,12,0,1,28,0,False,True,False,False,False,False,False,False,2
IND20200000105,Student,27.0,Female,Graduate,Russia,Student,Pune,Short Course,1460,3,2020,No,0.0,68183.0,1,1.0,0,20,Approved,2,6,0,11,7,7,29,0,False,False,False,False,False,False,True,False,2
IND20200000106,Business,24.0,Female,Graduate,Bangladesh,Professional,Chennai,Client Meeting,60,10,2020,No,0.0,60432.0,1,1.0,0,13,Approved,2,0,0,1,4,2,5,0,True,False,False,False,False,False,False,False,2
IND20240000107,Student,18.0,Male,12th Pass,UAE,Student,Bengaluru,PhD Research,1460,2,2024,No,0.0,28047.0,0,1.0,1,12,Approved,1,6,1,17,7,1,24,0,False,False,False,False,False,False,True,False,2
IND20210000108,Tourist,27.0,Male,Graduate,Australia,Academic,Ahmedabad,Hill Station,30,5,2021,No,0.0,24069.0,0,1.0,0,10,Approved,2,7,1,0,0,0,18,0,False,False,False,False,False,False,False,True,2
IND20210000109,Tourist,24.0,Female,Graduate,Australia,Academic,Mumbai,Wildlife Safari,90,12,2021,Yes,5.0,10828.0,1,1.0,0,5,Rejected,2,7,0,0,0,5,38,1,False,False,False,False,False,False,False,True,0
IND20210000110,Research,35.0,Female,Doctorate,USA,Government Employee,Bengaluru,Collaboration,90,3,2021,No,0.0,29974.0,1,1.0,0,10,Rejected,4,5,0,19,2,1,6,0,False,False,False,False,False,True,False,False,0
IND20230000111,Business,53.0,Female,10th Pass,Sri Lanka,Self Employed,Mumbai,Conference,90,11,2023,Yes,8.0,64057.0,1,1.0,0,6,Approved,0,0,0,15,6,5,7,1,True,False,False,False,False,False,False,False,2
IND20200000112,Business,27.0,Male,Doctorate,Russia,Self Employed,Chennai,Conference,90,12,2020,Yes,6.0,71012.0,1,1.0,0,11,Approved,4,0,1,11,6,2,7,1,True,False,False,False,False,False,False,False,2
IND20220000113,Medical,64.0,Male,12th Pass,Thailand,Student,Chennai,Treatment,90,10,2022,Yes,1.0,3661.0,1,0.0,0,19,Rejected,1,4,1,16,7,2,36,1,False,False,False,False,True,False,False,False,0
IND20230000114,Business,59.0,Male,Post Graduate,Singapore,Business Owner,Hyderabad,Trade Fair,180,4,2023,No,0.0,56227.0,1,1.0,0,5,Approved,3,0,1,12,1,3,35,0,True,False,False,False,False,False,False,False,2
IND20230000115,Tourist,50.0,Female,Graduate,Japan,Government Employee,Chennai,Wildlife Safari,90,12,2023,Yes,1.0,5284.0,0,0.0,0,21,Approved,2,7,0,8,2,2,38,1,False,False,False,False,False,False,False,True,2
IND20230000116,Research,35.0,Male,Post Graduate,France,Professional,Hyderabad,Collaboration,90,7,2023,Yes,3.0,27656.0,0,0.0,0,27,Approved,3,5,1,5,4,3,6,1,False,False,False,False,False,True,False,False,2
IND20240000117,Business,49.0,Female,10th Pass,Russia,Business Owner,Pune,Client Meeting,30,7,2024,No,0.0,62930.0,1,1.0,0,7,Approved,0,0,0,11,1,7,5,0,True,False,False,False,False,False,False,False,2
IND20240000118,Entry,61.0,Female,12th Pass,Russia,Professional,Mumbai,Family Visit,30,5,2024,No,0.0,12985.0,0,1.0,0,7,Approved,1,3,0,11,4,5,13,0,False,False,False,True,False,False,False,False,2
IND20210000119,Business,43.0,Female,Post Graduate,Germany,Student,Ahmedabad,Site Visit,180,9,2021,Yes,2.0,19864.0,1,1.0,0,10,Approved,3,0,0,6,7,0,31,1,True,False,False,False,False,False,False,False,2
